Semana,Precio_Venta_M,Pct_Descuento,Inversion_Publicidad_M,Unidades_Vendidas,Alta_Rotacion
1,1.5357349534895959,16.236203565420873,9.260531791408745,202.0438973241991,0
2,1.2037217683523218,33.52142919229749,3.9943378331909996,365.59363606676084,1
3,1.2968537189638016,26.959818254342153,5.283063384285038,296.55991455005193,1
4,1.3965727226631075,22.959754525911098,8.04440910834439,265.8377947192203,1
5,1.6111297091076744,9.680559213273096,3.8303853239329797,139.79085485314573,0
6,1.6375692280745875,9.67983561008608,2.615839278630344,133.44062748791796,0
7,1.6960137831142834,6.742508365045984,4.318011623310144,116.41137344129291,0
8,1.2299546465062592,30.985284373248057,3.2897702980320354,337.5140716660956,1
9,1.3998485355973318,23.033450352296263,9.437581218740585,268.8360085326206,1
10,1.3338325218941829,26.242177333881365,8.464963036515336,300.9030018626097,1
11,1.711215275480184,5.617534828874073,7.067230052083388,107.9044903596832,0
12,1.2147005745723323,34.097295564859834,8.971684721501742,369.8027316826042,1
13,1.256800152227729,29.973279224012654,8.429376615192915,339.92265040778886,1
14,1.5840308377683687,11.370173320348284,3.4925604710882867,155.96705504531326,0
15,1.5984718012637829,10.454749016213018,9.140471987919822,149.22829891502985,0
16,1.598724410404664,10.502135295603015,6.314737935325206,152.0989215851019,0
17,1.544552663160638,14.127267288786133,8.459521241312501,186.55947273966052,0
18,1.4317488065408415,20.742692948967136,9.168730399387947,246.98822408137278,1
19,1.4809000519232078,17.958350559263472,4.544027799774911,219.1230421546672,0
20,1.5651440130285976,13.736874205941257,2.880415396221414,174.970756237376,0
21,1.3797944652280838,23.355586841671386,3.8234813003355335,269.81813076279417,1
22,1.6564763264052573,9.184815819561255,5.4168623090100505,137.5643598603944,0
23,1.5482720372924128,13.764339456056545,8.544118127379946,187.48101651702515,0
24,1.5529671421202509,15.99085529881075,8.885844666050748,197.873225059061,0
25,1.4731072187392755,18.682099526511077,2.0556170442495256,227.92624012912347,0
26,1.2731476175015284,28.555278841790408,6.085978420620526,315.99774008445473,1
27,1.586112770163569,10.990213464750791,5.339288025190232,154.25932966063,0
28,1.4395504894852975,20.42703315240835,3.776862483765842,243.00787971325917,1
29,1.3867441910346092,22.772437065861276,2.9589229386694624,263.7005612254626,1
30,1.6956267845425828,6.3935123815999315,4.700921371229024,107.12563884242527,0
31,1.3890243443418266,23.22634555704315,9.543277631300153,271.82131894781236,1
32,1.6168245395190095,10.115723710618745,4.585623456166042,143.35561188577873,0
33,1.6621702340169229,6.9515477895583855,6.150324973946929,115.14944070145735,0
34,1.1748791015129123,33.466566117599996,7.624151671161423,372.67036091791874,1
35,1.1818609778587326,33.96896099223678,4.909036819034352,372.8784359842651,1
36,1.2863114139319631,29.251920443493834,9.774256661767685,327.3428586497905,1
37,1.5487199708083328,14.13841307520112,9.69957835953689,189.21099645050975,0
38,1.638570976755873,7.930163420191516,4.014258366602913,125.32000408371609,0
39,1.343111879571203,25.526990795364707,5.977988047139084,294.62158625058214,1
40,1.4780974140765482,18.20457481218804,4.407026478534157,222.8962253672258,0
41,1.6308414916408025,8.661147045343364,4.278723955019741,128.86784108052336,0
42,1.4449103451290972,19.855307303338105,2.2950955788362624,231.91786345618087,1
43,1.6923033293744723,6.031655633456552,6.876514671839175,110.24406059304461,0
44,1.2018224284099983,32.27961206236346,6.021432185830892,359.2043876849258,1
45,1.5756256203412151,12.763399448000508,2.411830009999915,166.32627296737192,0
46,1.360649734344373,24.87566853061946,4.2291717138928915,284.30552505251563,1
47,1.5579217875593472,14.351332282682328,9.26612708773323,191.42124046511046,0
48,1.4449702993445057,20.602040635334326,3.9164951253357794,240.8397475657024,1
49,1.3941114086352726,21.40130838029839,3.1591589767297847,252.76722626982507,1
50,1.5961112184174888,10.545633665765811,5.915622082220504,150.29278562150137,0
51,1.1941498300152682,34.08753883293676,9.885203632884807,374.9874060854479,1
52,1.2991350646486812,28.253984700833435,3.9364421720920033,318.9840720305873,1
53,1.2103962868499285,33.18496824692568,7.377084379247028,368.08961544771483,1
54,1.2845842031288903,31.844820512829465,8.09295692262974,353.0528013538042,1
55,1.3956973691024115,22.936999364332554,3.9011003519391974,269.0634387288875,1
56,1.2292213976902258,32.6562270506935,7.825730788894877,360.4437723406875,1
57,1.6765240753443613,7.654775061557585,4.942265061754026,123.05939390391529,0
58,1.6139401230632486,10.879485872574357,7.058446644748636,152.71064191746171,0
59,1.680848225318704,6.356818667316142,7.068237686087158,112.50494607150911,0
60,1.5457061596952362,14.759909922897931,6.286197472598068,189.40131877700665,0
61,1.4885218853496163,16.660318690684463,2.7223181604352664,205.1912641711138,0
62,1.559919243740996,13.140470953216877,8.682419964713905,178.6464091352409,0
63,1.2552012918405218,29.86212527455788,4.566240519773887,330.05630297686616,1
64,1.5185813156762566,15.702599800807679,3.492148083198834,202.63173112075793,0
65,1.593015243268917,13.428035290621423,2.3262011324381113,167.88489357902736,0
66,1.3889351372056697,21.280882494747456,6.7271435455059345,250.5231494220307,1
67,1.6441948213692459,9.22772674924288,7.420514894738259,141.66495653386102,0
68,1.2526228923249736,29.06590942262119,2.132702631422849,324.45317146785993,1
69,1.6626636744260823,7.236519310393125,6.096744466394248,121.14131253690704,0
70,1.1934153131902312,34.60660809801552,3.8119662015835036,377.2134302639382,1
71,1.293952024866237,28.167343078899723,7.161382323275599,318.19122480819294,1
72,1.5865273603026073,10.961470446025173,3.3949314320399315,149.49180141643595,0
73,1.6962885011143551,5.165663513708072,7.527501904819728,101.10213100203092,0
74,1.2798447948684097,29.463842853645026,5.093882770404299,326.2879016982846,1
75,1.3173415348465296,26.205720315428515,9.493839909893875,304.60514740705617,1
76,1.3195830081015965,26.87021504122962,3.100167553167946,301.16782935836517,1
77,1.2941975903881464,28.138110400578373,4.728530808402068,313.41407181684275,1
78,1.660241882849504,7.221339552022711,2.9077881699247126,114.6069128643622,0
79,1.5485876679259727,15.753971856328178,9.397548946228502,201.33233669684768,0
80,1.6569394931912,8.476071785753891,9.018714827047848,130.38596756205732,0
81,1.2135470112273155,30.893102776267806,4.063533021721245,340.5112454832047,1
82,1.3762158262346604,23.698943804826737,7.279872368273432,276.54340176634184,1
83,1.5213882696080436,14.926940745579476,8.537777601609726,194.8121837489211,0
84,1.6884649908674907,6.906750508580709,6.441606492795699,113.80371162024989,0
85,1.5301817351970521,14.329469651469866,6.237204626848052,185.53306038603696,0
86,1.5326799594835532,14.75549966080241,3.9348183272036135,188.82309071508328,0
87,1.3235874728821522,26.88818535014192,2.7448221424471937,296.5889515883972,1
88,1.3787052933807367,24.126724140656393,9.177726063626615,276.24774060815236,1
89,1.2129006729029468,31.616382277289794,9.203344457306644,351.0935044806483,1
90,1.449986421874933,19.16644775485848,7.0648116581861435,232.4458416869793,1
91,1.6382949275259027,8.58782737814905,4.712238328389605,131.7376790103902,0
92,1.315047876410977,26.39734361668985,4.793676596901287,304.44384934658046,1
